filename,sample_no,height,replicate,strength,area,d_eq,p_eq,theta,assessment,healthy_pct,mild_pct,moderate_pct,severe_pct,cavity_pct
091201（5cm).pit,8,5cm,1,75.9,2068.9,46.9,147.3,42.9,SAFE,26.936416184971097,33.3140655105973,22.38921001926782,10.48169556840077,6.878612716763005
091202 (5cm).pit,8,5cm,2,77.4,2068.9,47.2,148.2,41.1,SAFE,25.64547206165703,39.30635838150289,19.113680154142582,9.364161849710982,6.570327552986513
091201 (10cm).pit,8,10cm,1,74.9,2068.9,46.7,146.6,41.9,SAFE,21.271676300578036,38.90173410404624,21.19460500963391,11.560693641618498,7.071290944123314
091202 (10cm).pit,8,10cm,2,74.4,2068.9,46.6,146.3,37.1,SAFE,22.79383429672447,36.51252408477842,22.29287090558767,9.576107899807322,8.82466281310212
091201 (15cm).pit,8,15cm,1,80.6,2068.9,47.8,150.3,27.7,SAFE,39.59537572254335,33.371868978805395,12.177263969171484,8.208092485549132,6.6473988439306355
091202 (15cm).pit,8,15cm,2,77.7,2068.9,47.2,148.4,37.4,SAFE,29.03660886319846,38.47784200385356,15.992292870905588,10.346820809248555,6.146435452793835
101201(5cm).pit,9,5cm,1,53.0,759.9,24.9,78.2,14.7,CRITICAL,29.346772630354717,15.72010079472766,18.162434580345028,26.981973250629963,9.788718743942624
101202 (5cm).pit,9,5cm,2,57.0,759.9,25.5,80.1,14.4,CRITICAL,30.35471990695871,17.07695289784842,18.821477030432256,26.342314402015894,7.404535762744718
101201 (10cm).pit,9,10cm,1,69.8,759.9,27.3,85.7,24.8,SAFE,32.64198488079085,18.046132971506108,17.929831362667183,18.569490211281256,12.812560573754602
101202 (10cm).pit,9,10cm,2,66.4,759.9,26.8,84.3,15.9,CRITICAL,29.986431478968793,18.31750339213026,15.448730374103508,18.937778639271176,17.309556115526263
101201(15cm).pit,9,15cm,1,83.6,759.9,29.0,91.0,36.8,SAFE,42.06241519674355,18.666408218647025,16.417910447761194,14.014343865090135,8.838922271758094
101202(15cm).pit,9,15cm,2,80.7,759.9,28.6,89.9,34.6,SAFE,38.70905214188796,20.294630742391938,16.24345803450281,13.510370226788137,11.242488854429153
